Cluster,Members,Representative,"Weighted Score"
0,100,Center,-908.9
0,100,"Lowest Energy",-944.8
1,90,Center,-946.9
1,90,"Lowest Energy",-967.7
2,69,Center,-919.9
2,69,"Lowest Energy",-981.1
3,58,Center,-842.9
3,58,"Lowest Energy",-907.1
4,45,Center,-820.0
4,45,"Lowest Energy",-948.5
5,33,Center,-834.4
5,33,"Lowest Energy",-946.9
6,31,Center,-789.4
6,31,"Lowest Energy",-880.4
7,27,Center,-796.7
7,27,"Lowest Energy",-909.2
8,24,Center,-792.3
8,24,"Lowest Energy",-896.1
9,24,Center,-810.5
9,24,"Lowest Energy",-846.7
10,23,Center,-827.9
10,23,"Lowest Energy",-972.1
11,22,Center,-806.8
11,22,"Lowest Energy",-887.1
12,21,Center,-808.2
12,21,"Lowest Energy",-896.1
13,21,Center,-902.9
13,21,"Lowest Energy",-902.9
14,20,Center,-796.8
14,20,"Lowest Energy",-843.7
15,19,Center,-776.6
15,19,"Lowest Energy",-863.4
16,19,Center,-892.8
16,19,"Lowest Energy",-892.8
17,17,Center,-780.9
17,17,"Lowest Energy",-882.1
18,16,Center,-828.2
18,16,"Lowest Energy",-880.6
19,16,Center,-860.6
19,16,"Lowest Energy",-889.4
20,16,Center,-777.0
20,16,"Lowest Energy",-926.8
21,15,Center,-914.0
21,15,"Lowest Energy",-914.0
22,14,Center,-883.9
22,14,"Lowest Energy",-883.9
23,14,Center,-818.1
23,14,"Lowest Energy",-870.0
24,13,Center,-831.7
24,13,"Lowest Energy",-843.2
25,13,Center,-994.2
25,13,"Lowest Energy",-994.2
26,12,Center,-866.6
26,12,"Lowest Energy",-866.6
27,12,Center,-822.7
27,12,"Lowest Energy",-852.1
28,11,Center,-788.7
28,11,"Lowest Energy",-826.4
29,11,Center,-806.3
29,11,"Lowest Energy",-868.1
