Cluster,Members,Representative,"Weighted Score"
0,70,Center,-751.2
0,70,"Lowest Energy",-769.0
1,58,Center,-663.3
1,58,"Lowest Energy",-734.8
2,48,Center,-672.7
2,48,"Lowest Energy",-752.1
3,44,Center,-729.0
3,44,"Lowest Energy",-733.6
4,35,Center,-667.0
4,35,"Lowest Energy",-804.8
5,35,Center,-802.3
5,35,"Lowest Energy",-802.3
6,35,Center,-672.9
6,35,"Lowest Energy",-718.3
7,28,Center,-817.1
7,28,"Lowest Energy",-839.6
8,22,Center,-725.5
8,22,"Lowest Energy",-758.7
9,21,Center,-670.3
9,21,"Lowest Energy",-792.9
10,21,Center,-766.6
10,21,"Lowest Energy",-766.6
11,20,Center,-666.0
11,20,"Lowest Energy",-733.3
12,18,Center,-654.5
12,18,"Lowest Energy",-746.9
13,18,Center,-740.4
13,18,"Lowest Energy",-740.4
14,18,Center,-681.0
14,18,"Lowest Energy",-887.5
15,18,Center,-712.0
15,18,"Lowest Energy",-712.0
16,17,Center,-664.6
16,17,"Lowest Energy",-706.5
17,17,Center,-748.6
17,17,"Lowest Energy",-748.6
18,15,Center,-683.4
18,15,"Lowest Energy",-723.9
19,14,Center,-803.5
19,14,"Lowest Energy",-803.5
20,14,Center,-774.1
20,14,"Lowest Energy",-774.1
21,14,Center,-662.6
21,14,"Lowest Energy",-770.5
22,13,Center,-675.0
22,13,"Lowest Energy",-766.0
23,12,Center,-658.8
23,12,"Lowest Energy",-764.8
24,12,Center,-773.5
24,12,"Lowest Energy",-773.5
25,12,Center,-729.1
25,12,"Lowest Energy",-729.1
26,11,Center,-682.4
26,11,"Lowest Energy",-714.7
27,11,Center,-732.4
27,11,"Lowest Energy",-732.4
28,10,Center,-723.2
28,10,"Lowest Energy",-723.2
29,8,Center,-663.8
29,8,"Lowest Energy",-736.6
