Cluster,Members,Representative,"Weighted Score"
0,59,Center,-962.0
0,59,"Lowest Energy",-970.2
1,56,Center,-973.3
1,56,"Lowest Energy",-973.3
2,35,Center,-882.3
2,35,"Lowest Energy",-978.4
3,32,Center,-978.1
3,32,"Lowest Energy",-978.1
4,29,Center,-889.1
4,29,"Lowest Energy",-999.1
5,28,Center,-1012.9
5,28,"Lowest Energy",-1012.9
6,26,Center,-883.1
6,26,"Lowest Energy",-983.5
7,25,Center,-1099.7
7,25,"Lowest Energy",-1099.7
8,25,Center,-1261.9
8,25,"Lowest Energy",-1261.9
9,25,Center,-895.5
9,25,"Lowest Energy",-936.9
10,23,Center,-985.7
10,23,"Lowest Energy",-985.7
11,22,Center,-851.9
11,22,"Lowest Energy",-1036.5
12,20,Center,-962.3
12,20,"Lowest Energy",-962.3
13,20,Center,-937.4
13,20,"Lowest Energy",-937.4
14,18,Center,-878.8
14,18,"Lowest Energy",-964.0
15,17,Center,-848.3
15,17,"Lowest Energy",-910.4
16,17,Center,-959.8
16,17,"Lowest Energy",-960.6
17,17,Center,-935.1
17,17,"Lowest Energy",-935.1
18,16,Center,-854.4
18,16,"Lowest Energy",-917.5
19,16,Center,-832.8
19,16,"Lowest Energy",-922.8
20,14,Center,-846.0
20,14,"Lowest Energy",-985.0
21,13,Center,-826.7
21,13,"Lowest Energy",-1016.7
22,13,Center,-875.1
22,13,"Lowest Energy",-875.1
23,12,Center,-990.3
23,12,"Lowest Energy",-990.3
24,12,Center,-912.1
24,12,"Lowest Energy",-912.1
25,11,Center,-963.4
25,11,"Lowest Energy",-963.4
26,11,Center,-844.3
26,11,"Lowest Energy",-849.7
27,10,Center,-852.9
27,10,"Lowest Energy",-852.9
28,9,Center,-843.0
28,9,"Lowest Energy",-978.6
